Transaction ID,Amount ($),Risk,Status,Action,Date
TX001,120,Low,Approved,-,2026-03-01
TX002,450,Medium,Flagged,Review,2026-03-01
TX003,980,High,Blocked,-,2026-03-01
TX004,60,Low,Approved,-,2026-03-02
TX005,300,Medium,Flagged,Review,2026-03-02
TX006,1500,High,Blocked,-,2026-03-02
TX007,45,Low,Approved,-,2026-03-03
TX008,700,High,Flagged,Review,2026-03-03
TX009,210,Medium,Approved,-,2026-03-03
TX010,999,High,Blocked,-,2026-03-04
TX011,80,Low,Approved,-,2026-03-04
TX012,430,Medium,Flagged,Review,2026-03-04
TX013,1200,High,Blocked,-,2026-03-05
TX014,35,Low,Approved,-,2026-03-05
TX015,540,Medium,Flagged,Review,2026-03-05
TX016,870,High,Blocked,-,2026-03-06
TX017,95,Low,Approved,-,2026-03-06
TX018,260,Medium,Flagged,Review,2026-03-06
TX019,1340,High,Blocked,-,2026-03-07
TX020,110,Low,Approved,-,2026-03-07
TX021,480,Medium,Flagged,Review,2026-03-07
TX022,760,High,Blocked,-,2026-03-08
TX023,55,Low,Approved,-,2026-03-08
TX024,390,Medium,Flagged,Review,2026-03-08
TX025,1020,High,Blocked,-,2026-03-09
TX026,70,Low,Approved,-,2026-03-09
TX027,510,Medium,Flagged,Review,2026-03-09
TX028,880,High,Blocked,-,2026-03-10
TX029,40,Low,Approved,-,2026-03-10
TX030,275,Medium,Flagged,Review,2026-03-10
TX031,1430,High,Blocked,-,2026-03-11
TX032,85,Low,Approved,-,2026-03-11
TX033,320,Medium,Flagged,Review,2026-03-11
TX034,910,High,Blocked,-,2026-03-12
TX035,65,Low,Approved,-,2026-03-12
TX036,470,Medium,Flagged,Review,2026-03-12
TX037,1250,High,Blocked,-,2026-03-13
TX038,100,Low,Approved,-,2026-03-13
TX039,350,Medium,Flagged,Review,2026-03-13
TX040,820,High,Blocked,-,2026-03-14
TX041,90,Low,Approved,-,2026-03-14
TX042,600,Medium,Flagged,Review,2026-03-14
TX043,1500,High,Blocked,-,2026-03-15
TX044,75,Low,Approved,-,2026-03-15
TX045,410,Medium,Flagged,Review,2026-03-15
TX046,970,High,Blocked,-,2026-03-16
TX047,50,Low,Approved,-,2026-03-16
TX048,290,Medium,Flagged,Review,2026-03-16
TX049,1100,High,Blocked,-,2026-03-17
TX050,130,Low,Approved,-,2026-03-17